username,follower,following,media,average_like,average_comment,average_reach
ryuppeum,26811,7410,723,399.88,14.33,2463
yeonggarrrr,68,273,124,8.36,0.27,84
jae_rlo,443,223,63,84.75,5.09,239
hyun.e,10872,3610,415,357.17,22.22,1934
ggyu_vely823,2439,1008,393,96.18,25.89,285
soojung0407,11793,998,726,334.67,36.38,1071
seongyong.k.12,1376,915,86,126.29,30.67,669
shine.psd,4445,3869,456,215.3,56.5,812
hyorin29,192,139,0,0.0,0.0,0
l0_08ingsu,552,131,18,249.5,0.33,481
jseo.h,132,255,44,16.0,0.22,172
super_moon_1999,14,13,4,4.0,0.0,17
bin._.1013,640,124,6,211.5,6.5,647
harin_3218,142,182,22,23.0,0.0,95
bajohy_25,346,232,1,99.0,29.0,402
junnnno_o,619,382,32,234.0,5.0,847
seulvely_31,1542,3041,1207,66.57,0.67,602
silma_lee,771,217,63,34.0,3.0,172
hh.jun.young,263,253,12,119.29,2.0,538
y00n.ho_c,66,97,21,30.22,1.38,216
soupsoupforest,1523,298,42,388.3,16.82,6405
routine386,8,25,24,2.0,0.0,8
my_milk_tea_02,2154,1878,107,76.67,7.86,171
tobeawiseman,293,223,9,73.17,12.33,291
3.3__________,118,16,9,48.89,2.14,211
_.jelee,430,375,236,86.27,3.25,443
do_.nyak,463,576,94,69.75,9.33,378
sominizz_,1060,326,85,117.2,9.0,480
nynzii,1752,400,185,263.78,9.2,960
seeh.yun,562,110,8,244.67,10.62,979
oe_muchim,2000,576,204,353.7,30.73,812
seller_you,1207,802,20,106.6,2.67,223
gayoung__04,269,233,2,55.0,9.0,347
__luminousthemis__,444,296,12,99.8,7.86,317
trip.think,2191,1606,283,148.0,10.36,727
o_lotd,14229,7161,654,318.5,7.8,1240
seoni__day,1943,498,262,77.8,0.0,412
7x.mhg,10727,2697,148,752.3,4.75,3536
n.yeon99,1467,1103,166,294.3,14.43,595
yhs_dada,2558,1316,807,92.45,9.89,278
minyomi_._._,307,115,11,93.0,11.44,670
dadi.kim,2278,565,1435,166.67,16.22,512
llll_12_dy,568,106,8,145.86,14.83,310
dongxyun.k,1443,756,53,235.55,14.2,1201
u___jinnie,1787,818,123,309.22,5.67,2458
hysuneese_,1932,685,363,92.67,4.89,285
star03lightt,738,56,28,400.9,21.62,1055
jm_contents,1111,172,26,37.27,1.27,201
blandsalt92,25,82,0,0.0,0.0,0
x_jun_4.21,261,149,4,144.0,2.67,837
jh_kyeol,2330,2045,127,336.38,31.3,844
17__min,209,116,0,0.0,0.0,0
saveas.june,2183,391,122,175.88,9.56,809
jyj0__0,1866,118,49,198.33,9.09,738
biqiol,704,626,157,77.29,2.67,278
off_s.j04,151,136,22,109.0,3.45,216
mak_meokda,4150,2649,317,253.25,20.0,457
boramindoong,345,93,14,298.0,5.17,406
y00urimi,1196,288,46,60.67,6.0,373
0xhan_vong,136,217,9,37.5,4.0,172
fruit_vin,652,1705,416,12.89,0.14,84
o0_lotus_0o,1611,925,40,249.1,3.45,1389
ch_wonderland_official,637,291,56,106.75,8.67,200
katsu_man_,251,51,43,48.5,1.82,309
cc_oi_1,2322,644,45,417.67,140.71,1164
donggyu_1009,1717,328,20,479.29,10.67,3347
columbussong92,2289,198,120,87.0,3.4,355
wxxinsback,434,157,9,117.67,8.0,365
