username,follower,following,media,average_like,average_comment,average_reach
c_o_1ooo,1088,218,13,101.44,0.14,1190
lovely_chae.jiyu,1046,2695,616,30.5,5.36,108
hwanga411,169,173,8,36.33,4.0,169
hyun4good,30318,666,753,364.0,7.89,1170
eunni_6893,0,4,0,0.0,0.0,0
flals90,1080,1078,582,59.22,2.5,409
j_and_d01,7920,6590,3715,60.2,2.0,386
han_hansae,341,409,35,49.0,4.29,315
jooyh93,1249,571,229,115.27,8.7,775
jiyeon_irene_lee,732,684,221,65.42,6.38,365
seung_ui,3662,522,483,245.5,8.78,1525
dahazzii,4295,660,87,82.0,1.7,629
k_heesun_04,402,154,30,70.75,6.9,435
ganzi_0907,9337,3283,1756,301.0,12.14,906
no3y.ash_linn,285,565,32,44.5,4.45,214
zi_s__5,847,400,93,31.0,2.0,108
aboutdaheui_ch3,871,829,1350,45.43,3.67,498
0310_jaemin,3142,182,33,629.0,15.12,3530
k_th97,4507,3275,52,565.0,24.88,1754
kawa683_,2012,326,62,197.0,2.38,687
chae_jjin,583,497,241,112.44,9.33,622
yoking_._,246,49,8,48.5,5.5,252
geniecup_daily,45,50,40,6.0,1.0,37
yun_n0918,3043,701,1407,34.44,1.1,134
big_sparkle_k,552,70,5,740.0,12.0,2745
eunho_mommom,1397,1007,381,38.3,6.8,219
zeanne._,995,202,23,123.62,2.0,1369
dong_ban16,55,41,6,66.25,0.5,80
274sell,57,0,41,12.8,1.9,140
s__oohan,460,249,23,171.5,16.83,578
yeony_m0m,1695,2116,323,23.89,2.0,142
eekdzhd,520,398,105,64.5,0.14,270
middle__m,1761,262,123,104.45,9.25,877
d_ki000,0,0,2,8.0,7.5,22
hwaniez,12458,291,687,187.33,8.67,834
baseball_ssul,479,11,20,20.12,0.17,220
unique.hye,1345,681,298,230.27,13.25,798
_rico.mama,1081,559,393,51.67,4.0,185
okensseoul,334,149,92,38.78,3.0,302
yoojeong131,202,233,31,8.22,0.0,56
1129honey,1074,424,148,278.18,14.12,1533
start.your.line,2405,329,215,248.89,11.64,2910
hey_ryuxx,449,723,22,58.86,4.0,799
